datetime,open,high,low,close,volume
2020-01-01 01:00:00,7171.43,7225.0,7171.1,7210.24,3865.038
2020-01-01 02:00:00,7210.38,7239.3,7206.46,7237.99,3228.365
2020-01-01 03:00:00,7237.41,7239.74,7215.0,7221.65,2513.307
2020-01-01 04:00:00,7221.8,7225.41,7211.22,7213.86,1176.666
2020-01-01 05:00:00,7213.86,7224.09,7213.86,7220.31,928.221
2020-01-01 06:00:00,7220.31,7230.0,7217.6,7221.0,1283.557
2020-01-01 07:00:00,7220.99,7227.2,7193.52,7205.26,2349.907
2020-01-01 08:00:00,7205.26,7206.29,7174.0,7195.24,3385.349
2020-01-01 09:00:00,7195.23,7204.99,7182.76,7184.45,1687.285
2020-01-01 10:00:00,7184.46,7205.0,7181.43,7197.25,1222.531
2020-01-01 11:00:00,7197.27,7234.57,7185.01,7192.65,3741.128
2020-01-01 12:00:00,7192.74,7224.26,7191.79,7220.72,2419.669
2020-01-01 13:00:00,7220.72,7226.9,7210.0,7215.54,1826.277
2020-01-01 14:00:00,7215.49,7228.47,7204.0,7216.8,2546.332
2020-01-01 15:00:00,7216.8,7260.43,7215.0,7229.49,4218.25
2020-01-01 16:00:00,7229.66,7247.0,7210.81,7241.91,2453.81
2020-01-01 17:00:00,7241.91,7248.0,7221.88,7233.8,2477.807
2020-01-01 18:00:00,7233.87,7241.95,7222.0,7237.47,1827.668
2020-01-01 19:00:00,7237.83,7237.83,7223.15,7226.35,1028.577
2020-01-01 20:00:00,7226.56,7242.0,7223.09,7233.3,1476.534
2020-01-01 21:00:00,7233.32,7238.79,7225.0,7229.71,1210.884
2020-01-01 22:00:00,7229.71,7229.71,7183.26,7195.01,4361.306
2020-01-01 23:00:00,7195.0,7199.5,7174.0,7197.57,3123.812
2020-01-02 00:00:00,7197.57,7209.59,7182.19,7208.29,1512.807
2020-01-02 01:00:00,7208.29,7208.3,7183.01,7188.73,1872.396
2020-01-02 02:00:00,7188.64,7188.64,7155.0,7166.56,5106.854
2020-01-02 03:00:00,7166.92,7166.92,7121.0,7127.29,4871.843
2020-01-02 04:00:00,7126.94,7159.3,7112.06,7139.36,4720.779
2020-01-02 05:00:00,7139.65,7149.37,7123.87,7135.44,2392.655
2020-01-02 06:00:00,7135.44,7145.36,7119.1,7132.0,2327.214
2020-01-02 07:00:00,7132.0,7137.91,7101.0,7107.56,6169.713
2020-01-02 08:00:00,7107.53,7153.26,7106.75,7148.56,5149.4
2020-01-02 09:00:00,7148.56,7163.99,7133.04,7159.41,3137.868
2020-01-02 10:00:00,7159.41,7175.0,7150.58,7157.81,4615.755
2020-01-02 11:00:00,7157.35,7164.95,7136.24,7136.24,2448.788
2020-01-02 12:00:00,7136.36,7160.0,7136.33,7155.08,1989.615
2020-01-02 13:00:00,7155.1,7159.0,7103.0,7127.24,7844.971
2020-01-02 14:00:00,7127.5,7154.06,7120.0,7131.0,4008.742
2020-01-02 15:00:00,7131.0,7146.85,7115.03,7126.25,2793.228
